episode,seed,steps,return,success,final_distance,min_distance
0,6042,10,-10.231568455696106,1,0.008355186465406884,0.008355186465406884
1,6043,5,-4.0,1,0.02702578098073681,0.02702578098073681
2,6044,50,-51.42564582824707,0,0.12287531738518921,0.12284695593516362
3,6045,11,-11.813041687011719,1,0.043017319488648675,0.043017319488648675
4,6046,10,-9.103845596313477,1,0.02619993856314516,0.02619993856314516
5,6047,6,-5.05634605884552,1,0.04914158002038963,0.04914158002038963
6,6048,1,0.0,1,0.04893707377252505,0.04893707377252505
7,6049,50,-51.5626266002655,0,0.09567158981873652,0.09549325806307568
8,6050,9,-8.696699619293213,1,0.039821664105820685,0.039821664105820685
9,6051,5,-4.0,1,0.031523691520538195,0.031523691520538195
10,6052,5,-4.026913642883301,1,0.007804769305418301,0.007804769305418301
11,6053,7,-6.969459652900696,1,0.04570138402157365,0.04570138402157365
12,6054,5,-4.0,1,0.030210527279925316,0.030210527279925316
13,6055,5,-4.143314838409424,1,0.04474025952992345,0.04474025952992345
14,6056,50,-52.03838622570038,0,0.09125135243259433,0.09120385775068576
15,6057,1,0.0,1,0.018965210063041464,0.018965210063041464
16,6058,12,-12.066912293434143,1,0.01432098746087014,0.01432098746087014
17,6059,5,-4.97515070438385,1,0.04329658102302475,0.04329658102302475
18,6060,5,-4.437394380569458,1,0.035513926329431504,0.035513926329431504
19,6061,8,-7.93950080871582,1,0.020539603157398795,0.020539603157398795
20,6062,5,-4.611534357070923,1,0.0380878962064212,0.0380878962064212
21,6063,7,-6.8822832107543945,1,0.032943240792948664,0.032943240792948664
22,6064,8,-8.078286051750183,1,0.035128266256873264,0.035128266256873264
23,6065,5,-4.843859910964966,1,0.04049597597976865,0.04049597597976865
24,6066,7,-6.847001075744629,1,0.04274725730914546,0.04274725730914546
25,6067,5,-4.0,1,0.034004203947282687,0.034004203947282687
26,6068,6,-5.039556503295898,1,0.03347811728201672,0.03347811728201672
27,6069,50,-50.643866181373596,0,0.09381156436251553,0.062384554948512305
28,6070,5,-4.0,1,0.028767482877291795,0.028767482877291795
29,6071,5,-4.666584730148315,1,0.019029109202554767,0.019029109202554767
