episode,seed,steps,return,success,final_distance,min_distance
73,5115,50,-3.0,1,0.017402038845430404,0.017402038845430404
74,5116,50,-4.707777261734009,1,0.015938139921656692,0.015938139921656692
75,5117,50,-4.4501179456710815,1,0.012239682098906534,0.008201350218140325
76,5118,50,-7.754908919334412,1,0.022106348710120946,0.022106348710120946
77,5119,50,-50.323768973350525,0,0.05165823893350546,0.05136301707565612
78,5120,50,-8.378758788108826,1,0.014002383449493394,0.012392475841164147
79,5121,50,-3.0,1,0.012071442975364392,0.011886136471025788
80,5122,50,0.0,1,0.01694290563383251,0.01618303623603481
81,5123,50,-4.56500768661499,1,0.008053877638500476,0.00779116148150757
82,5124,50,-7.6379159688949585,1,0.010024405336828706,0.010024405336828706
83,5125,50,-8.556192994117737,1,0.0198257088658508,0.0198257088658508
84,5126,50,0.0,1,0.01571910942506381,0.0152838829194346
85,5127,50,-4.0,1,0.0170544739608902,0.0170544739608902
86,5128,50,-7.1807801723480225,1,0.006649752736193415,0.006286755481965101
87,5129,50,-52.01227939128876,0,0.08162361761187513,0.07912040586269366
88,5130,50,-15.27247440814972,1,0.01653965585048974,0.011574963801354548
89,5131,50,-4.0,1,0.014560077690378105,0.014560077690378105
90,5132,50,-4.0,1,0.010242316122100527,0.009802942482356638
91,5133,50,-5.7229509353637695,1,0.01886515134668418,0.01886515134668418
92,5134,50,-5.004829406738281,1,0.0032488392322510343,0.0028875050101409864
93,5135,50,-4.041385054588318,1,0.012390250051711618,0.01191896034541855
94,5136,50,-3.0,1,0.01514516772834717,0.014403019746253064
95,5137,50,-4.035489201545715,1,0.014528387022885437,0.014528387022885437
96,5138,50,-4.0,1,0.01928972351230019,0.01877356008187043
97,5139,50,-4.0,1,0.012601544973818195,0.007831125798008902
98,5140,50,-4.0,1,0.018417514064738755,0.018417514064738755
99,5141,50,-4.046381115913391,1,0.01762607878706267,0.01762607878706267
100,5142,50,-37.954644322395325,1,0.06137405614783533,0.03384147968579602
101,5143,50,-6.828079342842102,1,0.012337880713521118,0.012337880713521118
102,5144,50,-6.399412512779236,1,0.01023488652317535,0.01023488652317535
103,5145,50,-8.357817769050598,1,0.020711920131400743,0.02038261830500826
104,5146,50,-6.830812931060791,1,0.01323158182711327,0.013107397989249172
105,5147,50,-9.238713264465332,1,0.024121238186313173,0.024121238186313173
106,5148,50,-4.451717495918274,1,0.011638526524431371,0.011638526524431371
107,5149,50,-4.287996292114258,1,0.022304368069629425,0.022304368069629425
108,5150,50,-8.355395913124084,1,0.047025239506285184,0.03616483304212047
109,5151,50,-9.0,1,0.020399933120477633,0.014954280378577033
110,5152,50,-4.631604552268982,1,0.011611380572785683,0.011611380572785683
111,5153,50,-10.06883692741394,1,0.03297053616700824,0.03297053616700824
112,5154,50,0.0,1,0.013892543326680414,0.013892543326680414
113,5155,50,-9.1110360622406,1,0.020837378852352442,0.020837378852352442
114,5156,50,-5.017576813697815,1,0.038335422618845115,0.0382948813134474
115,5157,50,-6.480797529220581,1,0.016862226734710318,0.016627168687210103
116,5158,50,-4.980034112930298,1,0.014507680133032655,0.014086049486738252
117,5159,50,-11.412739396095276,1,0.018624654143981387,0.018624654143981387
118,5160,50,-5.0,1,0.015247558891542829,0.015247558891542829
119,5161,50,-4.0,1,0.014059213543458453,0.013745386623900725
120,5162,50,-5.998705625534058,1,0.01266070814705743,0.01266070814705743
121,5163,50,-4.716789245605469,1,0.022391298409043945,0.022391298409043945
122,5164,50,-5.319206118583679,1,0.020050740132022793,0.01953018654362949
123,5165,50,-4.0,1,0.015951952878543774,0.015547975994126327
124,5166,50,-12.121365785598755,1,0.02023436326937623,0.017039592286764178
125,5167,50,-4.244365334510803,1,0.019065821661918662,0.01826323325719025
126,5168,50,-11.243756413459778,1,0.012825799053280088,0.01079690953231043
127,5169,50,-3.0,1,0.019001228901494766,0.016464449598208718
