episode,seed,steps,return,success,final_distance,min_distance
0,6542,5,-4.490224123001099,1,0.005687349518670673,0.005687349518670673
1,6543,8,-8.39182698726654,1,0.02292194279103322,0.02292194279103322
2,6544,11,-11.612296104431152,1,0.024717249709940763,0.024717249709940763
3,6545,17,-18.608245134353638,1,0.023053593794221745,0.023053593794221745
4,6546,5,-4.0,1,0.04121856580463682,0.04121856580463682
5,6547,5,-4.918437361717224,1,0.0405400732315235,0.0405400732315235
6,6548,7,-6.847467660903931,1,0.04633667118153095,0.04633667118153095
7,6549,5,-4.244307041168213,1,0.029604736297036804,0.029604736297036804
8,6550,6,-5.3008997440338135,1,0.04078975623207064,0.04078975623207064
9,6551,4,-3.0,1,0.044194554964347876,0.044194554964347876
10,6552,5,-4.0,1,0.030319640653309946,0.030319640653309946
11,6553,4,-3.0,1,0.03749235952590081,0.03749235952590081
12,6554,4,-3.0,1,0.03105555928038812,0.03105555928038812
13,6555,8,-8.247745275497437,1,0.049511643842401434,0.049511643842401434
14,6556,9,-9.414791703224182,1,0.03220406004383161,0.03220406004383161
15,6557,4,-3.0,1,0.028770101044338456,0.028770101044338456
16,6558,11,-11.888578414916992,1,0.017515348175915827,0.017515348175915827
17,6559,5,-4.123122692108154,1,0.031206080954936277,0.031206080954936277
18,6560,5,-4.367481350898743,1,0.016437569904321787,0.016437569904321787
19,6561,17,-20.39091205596924,1,0.037840682585050134,0.037840682585050134
20,6562,7,-6.0,1,0.04639903103246645,0.04639903103246645
21,6563,6,-5.4455485343933105,1,0.030389476679458675,0.030389476679458675
22,6564,4,-3.0,1,0.040009259076198504,0.040009259076198504
23,6565,5,-4.220328450202942,1,0.03545466139341826,0.03545466139341826
24,6566,7,-7.651646614074707,1,0.028761772328823654,0.028761772328823654
25,6567,7,-6.241458892822266,1,0.014475482656319741,0.014475482656319741
26,6568,7,-6.676168918609619,1,0.03257321370411655,0.03257321370411655
27,6569,6,-5.967297434806824,1,0.047810241105830154,0.047810241105830154
28,6570,9,-8.758416771888733,1,0.04082688002737891,0.04082688002737891
29,6571,4,-3.0,1,0.03566326910323949,0.03566326910323949
30,6572,50,-50.28203880786896,0,0.1072299215769357,0.056292319292657114
31,6573,50,-50.66895091533661,0,0.08077557836346955,0.05233675073354121
32,6574,4,-3.0,1,0.04001218129562852,0.04001218129562852
33,6575,7,-6.8063191175460815,1,0.04385499614187176,0.04385499614187176
34,6576,9,-9.478022813796997,1,0.0427307929350066,0.0427307929350066
35,6577,1,0.0,1,0.03350329395052183,0.03350329395052183
36,6578,12,-11.575598239898682,1,0.02604595482520639,0.02604595482520639
37,6579,5,-4.229126811027527,1,0.03785317181292573,0.03785317181292573
38,6580,5,-4.146272659301758,1,0.02242064911884904,0.02242064911884904
39,6581,5,-4.600807189941406,1,0.014320860229697824,0.014320860229697824
40,6582,1,0.0,1,0.041896899548767706,0.041896899548767706
41,6583,5,-4.0,1,0.02157095104998565,0.02157095104998565
42,6584,14,-13.563404083251953,1,0.030208362072680885,0.030208362072680885
43,6585,7,-6.538892388343811,1,0.02505359012438853,0.02505359012438853
44,6586,10,-10.595754742622375,1,0.03821491544654824,0.03821491544654824
45,6587,50,-50.186962366104126,0,0.08798366502534945,0.08752318332640972
46,6588,7,-6.748119592666626,1,0.046039499076917484,0.046039499076917484
47,6589,22,-24.668914556503296,1,0.019944896260049742,0.019944896260049742
48,6590,5,-4.0,1,0.005579277512689964,0.005579277512689964
49,6591,5,-4.662504434585571,1,0.03471550859044027,0.03471550859044027
50,6592,5,-4.0,1,0.018267513809141326,0.018267513809141326
51,6593,50,-50.0,0,0.05263840256913381,0.05263840256913381
52,6594,6,-5.0,1,0.04717166284530009,0.04717166284530009
53,6595,4,-3.0,1,0.0427386834554647,0.0427386834554647
54,6596,9,-9.127896904945374,1,0.017433700961861056,0.017433700961861056
55,6597,38,-48.63670873641968,1,0.04989547320474582,0.04989547320474582
56,6598,8,-8.319881796836853,1,0.0199186431732738,0.0199186431732738
57,6599,6,-5.0,1,0.032302572839781385,0.032302572839781385
58,6600,8,-7.962563753128052,1,0.030953618876529598,0.030953618876529598
59,6601,7,-6.549022316932678,1,0.038481666320110006,0.038481666320110006
60,6602,15,-15.464105248451233,1,0.04569930872338819,0.04569930872338819
61,6603,8,-7.887525677680969,1,0.037541306458688604,0.037541306458688604
62,6604,1,0.0,1,0.014163553395711636,0.014163553395711636
63,6605,4,-3.0,1,0.03972301963971346,0.03972301963971346
64,6606,5,-4.362966418266296,1,0.04909823949646456,0.04909823949646456
65,6607,5,-4.750343680381775,1,0.03099920469507396,0.03099920469507396
66,6608,50,-50.284348487854004,0,0.06410669719210808,0.0640157313763908
67,6609,4,-3.0,1,0.009706559361504977,0.009706559361504977
68,6610,6,-5.620659947395325,1,0.04221952341676908,0.04221952341676908
69,6611,9,-9.321900129318237,1,0.04556190160183776,0.04556190160183776
70,6612,5,-4.0,1,0.025548783029416804,0.025548783029416804
71,6613,10,-9.041769027709961,1,0.0379600780079263,0.0379600780079263
72,6614,50,-50.71551811695099,0,0.06380571596798662,0.06380571596798662
73,6615,1,0.0,1,0.016648913844416583,0.016648913844416583
74,6616,10,-9.156250596046448,1,0.03943037501434035,0.03943037501434035
75,6617,15,-15.097333192825317,1,0.029307171779761762,0.029307171779761762
76,6618,6,-5.5234493017196655,1,0.022069651624892606,0.022069651624892606
77,6619,5,-4.0,1,0.03346334823605483,0.03346334823605483
78,6620,8,-8.274383068084717,1,0.04853161183386945,0.04853161183386945
79,6621,31,-30.327241897583008,1,0.04882028476517909,0.04882028476517909
80,6622,5,-4.1998220682144165,1,0.03400840076567488,0.03400840076567488
