episode,seed,steps,return,success,final_distance,min_distance
34,5076,50,-4.32814621925354,1,0.02925523212503998,0.02925523212503998
35,5077,50,-9.40370762348175,1,0.04459499374647229,0.04459499374647229
36,5078,50,-6.6089876890182495,1,0.023201298515223318,0.022940716821253662
37,5079,50,-4.490707278251648,1,0.01368889296373167,0.01368889296373167
38,5080,50,-10.738316059112549,1,0.020874832916956514,0.020785147698189493
39,5081,50,-4.0,1,0.0011950551402681224,0.000692426282063763
40,5082,50,-3.0,1,0.030167945856502176,0.030167945856502176
41,5083,50,-3.0,1,0.010319514150138896,0.00999290891762307
42,5084,50,-4.42043399810791,1,0.027202038511178306,0.02648403286473199
43,5085,50,-4.0,1,0.016765945187709432,0.016765945187709432
44,5086,50,-4.266915202140808,1,0.014510820298768263,0.014397716970188539
45,5087,50,0.0,1,0.014176983637427363,0.01363150832346886
46,5088,50,-8.045230627059937,1,0.04075848449262419,0.04075848449262419
47,5089,50,-6.04185688495636,1,0.025174415176814312,0.025174415176814312
48,5090,50,0.0,1,0.018537506077496668,0.01818719624948973
49,5091,50,-5.0,1,0.03146347400514764,0.03146347400514764
50,5092,50,-7.0,1,0.0263538518059548,0.026083521222654074
51,5093,50,-7.156474947929382,1,0.021558222557198713,0.021215679287664695
52,5094,50,-4.835368514060974,1,0.012058040576494147,0.012058040576494147
53,5095,50,-4.522761702537537,1,0.014437902207238479,0.01402605802487753
54,5096,50,-6.895560145378113,1,0.020632138722372326,0.02029475496330692
55,5097,50,-13.53076422214508,1,0.010391336144387489,0.01003683674859401
56,5098,50,-5.704948902130127,1,0.01820728568985878,0.01804185385173588
57,5099,50,-4.91374671459198,1,0.028027952633096723,0.02677010949304718
58,5100,50,-3.0,1,0.020931587283882107,0.019413074659274925
59,5101,50,-12.33891475200653,1,0.022902786641435875,0.02283064325583671
60,5102,50,-11.005289316177368,1,0.018327711410694014,0.018327711410694014
61,5103,50,-4.0,1,0.01502738211055146,0.006393616546979939
62,5104,50,-4.0,1,0.026890395040293783,0.026890395040293783
63,5105,50,-5.0,1,0.0031001848037086168,0.0031001848037086168
64,5106,50,-9.791553974151611,1,0.015408946172933551,0.015282303827438289
65,5107,50,-5.34829843044281,1,0.002688963701465353,0.002688963701465353
66,5108,50,-4.0,1,0.01841544879578335,0.01837897455183979
67,5109,50,-4.902882933616638,1,0.019662808597121748,0.019180868008939558
68,5110,50,-6.771602153778076,1,0.011906225326383617,0.011581303829943752
69,5111,50,-11.235017895698547,1,0.02541444482068745,0.02541444482068745
70,5112,50,-9.438791632652283,1,0.01312560526599303,0.01312560526599303
71,5113,50,-4.0,1,0.019166071665693285,0.019166071665693285
72,5114,50,-51.84148669242859,0,0.1038533908644867,0.1038533908644867
73,5115,50,-3.0,1,0.023753215670725573,0.023753215670725573
74,5116,50,-6.680100321769714,1,0.019797461370853815,0.019797461370853815
75,5117,50,-4.445677280426025,1,0.018857514587593705,0.018621543957878097
76,5118,50,-7.768868088722229,1,0.020210914373405317,0.015738858173778274
77,5119,50,-5.323746204376221,1,0.022058025783917516,0.021637260718644184
78,5120,50,-5.3775739669799805,1,0.022580370757513197,0.022413383981692847
