episode,seed,steps,return,success,final_distance,min_distance
37,5079,50,-4.0,1,0.023536385536805128,0.023536385536805128
38,5080,50,-6.0,1,0.019347020683526204,0.019347020683526204
39,5081,50,-4.0,1,0.027073978338642807,0.026897006742107418
40,5082,50,-3.0,1,0.005357965214106781,0.004905383956168536
41,5083,50,-3.0,1,0.009989093933045859,0.009989093933045859
42,5084,50,-8.0,1,0.010519315263994388,0.010519315263994388
43,5085,50,-4.0,1,0.018026251416971978,0.01755203637007691
44,5086,50,-4.0,1,0.019524735725632496,0.015388848942819227
45,5087,50,0.0,1,0.01770861442105998,0.01666713149932855
46,5088,50,-6.0,1,0.02417197274282743,0.02417197274282743
47,5089,50,-6.0,1,0.013614876995412074,0.013614876995412074
48,5090,50,0.0,1,0.026874875680478,0.026874875680478
49,5091,50,-9.0,1,0.00824347282188598,0.007753152738026505
50,5092,50,-5.0,1,0.0190526298636682,0.0190526298636682
51,5093,50,-7.0,1,0.026779478575417192,0.026513895986475206
52,5094,50,-4.0,1,0.018844952761161243,0.018844952761161243
53,5095,50,-4.0,1,0.017233096896052475,0.017233096896052475
54,5096,50,-6.0,1,0.005453056788269325,0.0052549208021457966
55,5097,50,-5.0,1,0.015789376526386012,0.015789376526386012
56,5098,50,-5.0,1,0.016097186503221818,0.015695519685506202
57,5099,50,-6.0,1,0.027108651775535907,0.023078850284734123
58,5100,50,-4.0,1,0.00197429174074924,0.001736206599291563
59,5101,50,-4.0,1,0.013345775516272373,0.013345775516272373
60,5102,50,-11.0,1,0.031183628680812047,0.03116574672398478
61,5103,50,-4.0,1,0.014986693075439414,0.014827549897162926
62,5104,50,-8.0,1,0.00963266300118182,0.009622632828471351
63,5105,50,-4.0,1,0.01035449182318048,0.01035449182318048
64,5106,50,-6.0,1,0.034082911393675454,0.034082911393675454
65,5107,50,-4.0,1,0.0042005502652020564,0.0042005502652020564
66,5108,50,-4.0,1,0.00715496246849471,0.00715496246849471
67,5109,50,-4.0,1,0.0256827897660571,0.022116561890381622
68,5110,50,-5.0,1,0.015794707899364872,0.015794707899364872
69,5111,50,-8.0,1,0.008938669991233925,0.008938669991233925
70,5112,50,-7.0,1,0.019820850486556095,0.019503548997003035
71,5113,50,-4.0,1,0.017923107823743078,0.017923107823743078
72,5114,50,-10.0,1,0.015589647602603087,0.015355449060487927
73,5115,50,-3.0,1,0.023357966034733793,0.023357966034733793
74,5116,50,-6.0,1,0.015663347843628876,0.015365535385162684
75,5117,50,-4.0,1,0.029872417755414847,0.02949341906996969
76,5118,50,-4.0,1,0.026910179171028382,0.02151078381858167
77,5119,50,-5.0,1,0.020321156866662242,0.020275877471266957
78,5120,50,-11.0,1,0.020885711259889254,0.020885711259889254
79,5121,50,-3.0,1,0.01638688778474919,0.011397695239801626
80,5122,50,0.0,1,0.0171764484074046,0.017062016852495903
