episode,seed,steps,return,success,final_distance,min_distance
0,5542,11,-11.642630338668823,1,0.04845790298337163,0.04845790298337163
1,5543,1,0.0,1,0.033336809660990945,0.033336809660990945
2,5544,1,0.0,1,0.03399521325572889,0.03399521325572889
3,5545,5,-4.224614262580872,1,0.007776050379944053,0.007776050379944053
4,5546,8,-7.097066760063171,1,0.04005915623885145,0.04005915623885145
5,5547,10,-10.983892560005188,1,0.029080614225825432,0.029080614225825432
6,5548,7,-6.489550828933716,1,0.03093495499256158,0.03093495499256158
7,5549,5,-4.049119472503662,1,0.047066121003225055,0.047066121003225055
8,5550,1,0.0,1,0.02537322199326346,0.02537322199326346
9,5551,1,0.0,1,0.041477911109925776,0.041477911109925776
10,5552,4,-3.0,1,0.04835271679657438,0.04835271679657438
11,5553,5,-4.006910800933838,1,0.024046956904011273,0.024046956904011273
12,5554,5,-4.09399676322937,1,0.04932178283041042,0.04932178283041042
13,5555,13,-13.368217706680298,1,0.043761553191410195,0.043761553191410195
14,5556,4,-3.0,1,0.04854449437959493,0.04854449437959493
15,5557,4,-3.0,1,0.026131212968516074,0.026131212968516074
16,5558,6,-5.262628197669983,1,0.04886695013251029,0.04886695013251029
17,5559,1,0.0,1,0.01733436218250069,0.01733436218250069
18,5560,6,-5.2948899269104,1,0.03774117323487745,0.03774117323487745
19,5561,12,-13.860482811927795,1,0.02834174870945832,0.02834174870945832
20,5562,5,-4.2565678358078,1,0.018212254512559894,0.018212254512559894
21,5563,6,-6.2217724323272705,1,0.04319961498528269,0.04319961498528269
22,5564,5,-4.575109124183655,1,0.03462232832636598,0.03462232832636598
23,5565,11,-10.409096956253052,1,0.020736766057119264,0.020736766057119264
24,5566,4,-3.0,1,0.03963065951285717,0.03963065951285717
25,5567,6,-5.077356696128845,1,0.02352486379066333,0.02352486379066333
26,5568,1,0.0,1,0.04730181713862953,0.04730181713862953
27,5569,5,-4.947210073471069,1,0.044857284725831906,0.044857284725831906
28,5570,1,0.0,1,0.035967961094345094,0.035967961094345094
29,5571,5,-4.0,1,0.04046157183827558,0.04046157183827558
30,5572,5,-4.306522607803345,1,0.03051314745268726,0.03051314745268726
31,5573,8,-7.378192663192749,1,0.015522981555341988,0.015522981555341988
32,5574,5,-4.848063945770264,1,0.037376133606794974,0.037376133606794974
33,5575,1,0.0,1,0.03520102498503578,0.03520102498503578
34,5576,5,-4.0,1,0.016914948023839485,0.016914948023839485
35,5577,5,-4.290723562240601,1,0.03382857871394097,0.03382857871394097
36,5578,8,-8.274181008338928,1,0.038351085092668415,0.038351085092668415
37,5579,4,-3.0,1,0.02474897087679829,0.02474897087679829
38,5580,50,-50.40888559818268,0,0.05810046027328608,0.05758664240300601
39,5581,5,-4.0,1,0.04798879290003168,0.04798879290003168
40,5582,7,-7.574472904205322,1,0.04018283538099105,0.04018283538099105
41,5583,5,-4.0,1,0.02262758664388353,0.02262758664388353
42,5584,9,-9.492239475250244,1,0.038285843450942394,0.038285843450942394
43,5585,5,-4.49118709564209,1,0.04483108607116245,0.04483108607116245
44,5586,4,-3.0,1,0.016171858151142214,0.016171858151142214
45,5587,8,-7.934218883514404,1,0.04488322216246502,0.04488322216246502
